loan_id,Success,Amount（log),education,success records,credit limit(log),credit report,length,valid characters,ratio of valid characters ,periods,ratio of complex words,theme 1,theme 2,theme 3,theme 4
546373,1,4.3802112417116064,1,3,0,1,57,28,0.49122807017543857,0,0,3.3898305084745701E-3,3.3898305084745701E-3,0.98644067796610102,3.3898305084745701E-3
546375,1,3.8450980400142569,3,2,3.9242792860618816,1,62,48,0.77419354838709675,2.7026999999999999E-2,5.4054100000000001E-2,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
546422,1,4.0413926851582254,3,1,0,1,61,40,0.65573770491803274,5.2631600000000001E-2,0,3.3898305084745701E-3,3.3898305084745701E-3,0.850847457627118,0.13898305084745699
546484,1,4.910090545594068,3,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
546494,1,4.3979400086720375,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
546555,1,4.204119982655925,3,1,0,1,23,13,0.56521739130434778,0,0,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
546680,1,4.6981005456233902,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.25714285714285701,3.4920634920634901E-2
546855,1,4.0791812460476251,1,3,4.0791812460476251,1,23,16,0.69565217391304346,0,0,2.7397260273972599E-3,2.7397260273972599E-3,2.7397260273972599E-3,0.989041095890411
546975,1,3.8450980400142569,2,1,0,1,88,58,0.65909090909090906,3.7037E-2,1.85185E-2,3.27868852459016E-3,3.27868852459016E-3,0.82295081967213102,3.27868852459016E-3
546977,1,4.4471580313422194,4,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.27868852459016E-3,3.27868852459016E-3,0.92131147540983604,3.6065573770491702E-2
547056,1,4.5693739096150461,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.92380952380952297,3.4920634920634901E-2
547095,1,4.3979400086720375,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
547180,1,4.8444771757456815,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.54285714285714204,3.1746031746031698E-3
547346,1,3.9542425094393248,3,1,0,1,52,35,0.67307692307692313,5.8823500000000001E-2,0,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
547366,1,4.0413926851582254,3,3,0,1,21,14,0.66666666666666663,0,0,3.3846153846153797E-2,3.07692307692307E-3,0.895384615384615,3.07692307692307E-3
